Freq.	V(out)
1.58489319246110e+002	2.91818082067286e-001,-2.11530741890839e-001
1.62181009735892e+002	2.86287024186392e-001,-2.07296517569823e-001
1.65958690743755e+002	2.80926580175167e-001,-2.02959820279292e-001
1.69824365246173e+002	2.75736855243011e-001,-1.98527536995298e-001
1.73780082874936e+002	2.70717667858729e-001,-1.94006340028479e-001
1.77827941003891e+002	2.65868571715236e-001,-1.89402676920945e-001
1.81970085860997e+002	2.61188877688443e-001,-1.84722762224712e-001
1.86208713666286e+002	2.56677675645562e-001,-1.79972571087081e-001
1.90546071796323e+002	2.52333855971807e-001,-1.75157834559481e-001
1.94984459975803e+002	2.48156130698313e-001,-1.70284036539289e-001
1.99526231496887e+002	2.44143054127768e-001,-1.65356412248925e-001
2.04173794466952e+002	2.40293042867671e-001,-1.60379948152973e-001
2.08929613085403e+002	2.36604395194016e-001,-1.55359383212050e-001
2.13796208950222e+002	2.33075309680491e-001,-1.50299211371457e-001
2.18776162394954e+002	2.29703903039872e-001,-1.45203685183235e-001
2.23872113856832e+002	2.26488227135070e-001,-1.40076820461779e-001
2.29086765276776e+002	2.23426285127206e-001,-1.34922401875747e-001
2.34422881531991e+002	2.20516046737127e-001,-1.29743989382176e-001
2.39883291901947e+002	2.17755462604903e-001,-1.24544925412625e-001
2.45470891568501e+002	2.15142477739053e-001,-1.19328342725492e-001
2.51188643150956e+002	2.12675044053552e-001,-1.14097172843314e-001
2.57039578276885e+002	2.10351131996135e-001,-1.08854154998829e-001
2.63026799189536e+002	2.08168741275990e-001,-1.03601845518566e-001
2.69153480392690e+002	2.06125910702735e-001,-9.83426275778965e-002
2.75422870333815e+002	2.04220727151650e-001,-9.30787212664558e-002
2.81838293126443e+002	2.02451333672452e-001,-8.78121939078287e-002
2.88403150312659e+002	2.00815936760656e-001,-8.25449705821088e-002
2.95120922666637e+002	1.99312812811659e-001,-7.72788448044767e-002
3.01995172040200e+002	1.97940313778335e-001,-7.20154893171692e-002
3.09029543251357e+002	1.96696872053022e-001,-6.67564669561410e-002
3.16227766016836e+002	1.95581004594588e-001,-6.15032415572922e-002
